Participant ID,"Q1. Do the layers on the Heat Map make sense to you? 
•        E.g., What information do you find useful and why?
•        E.g., What information do you find confusing on the Heat Map and why?
","Q2: What information do you think is missing in the Heat Map? How would this information help you learn about the heat situation in your neighborhood?

",Q3: Where do you currently go for information about heat (waves)? And how do you usually learn about extremely hot weather?,"Q4: During very hot days, how do you stay cool and safe? ","Q5: Would you plan to use the Heat Map we presented? If so, how would you use it in your everyday life? If not, what is the reason that you will not use it?",Q6: There will be opportunities for you to participate in conversations about how to reduce the impacts of extreme heat in Madison. How would you like to be part of it?
106,Nos da una idea física de los demograficos de la ciudad . La ciudad ha derrivado muchos arboles y no los ha remplazado con arboles de cierta edad que aseguren su supervivencia.,Demograficos por vecindario; planes de la ciudad por reforestar la ciudad con arboles que provean una sombra robusta.,"En el web de la ciudad, el canal del clima.","En casa, y cuando camino al perro uso ropa clara, manga larga, sombrero, bloqueador y botitas.",Para detectar las zonas más caleintes y evitarlas.,"Con boletines y encuestas, estudios."
108,Estoy totalmente de acuerdo y claramente entiendo sobre los mapas que se mostraron.,"Todo estuvo bien resumido, gracias.",En la tecnología de tv o cell donde nos dan información del tiempo.,Dentro de casa o lugares frescos.,left_blank,"Sí, teniendo más información sobre el tema."
109,"Sí tiene buena información, solo quenecesita tener un poco mas de otros lugares.",Expandir a otros vecindarios que pertenencen a Dane County.,"En las noticias, que el calor está haciendo un impacto muy grande en todo el mundo.",En casa.,Sí para saber más sobre lugares a donde puede uno acudir si está caliente. ,No sé. Buscar más información sobre el cambio del clima.
111,"Sí, tiene sentido porque ayuda a prevenir accidentes y ayudar a otras personas.",Tal vez sería algunas alertas más representativas o más focalizadas.,En las páginas web de Wisconsin online,Con mucha hidratación y planes de emergencia.,Muy importante porque permite implementar estrategias de emergencia.,Proponer reuniones con personas que no conocen del tema y pedir ampliar algunos
112,Definitivamente sí. Estas comunidades son las más vulnerables y las que necesitan más ayuda para enfrentar lso efectos del calor extremo.,"El mapa muestra un diágnostico inicial que da una idea general, pero creo que sería importante y relevante focalizar las alertas por cada sector.","Reporte diatioa del clima, App- Google.","Utilizando ropa cómoda, visitando parques, lagos y piscinas.",Es una excelente forma de anticipar cuáles serán las zonas más calientes y las más cálidas para estar preparados.,Conociendo mucho más del tema y participando en un plan de acción con actividades concretas. 
124,"Sí tiene mucho sentido, entre mayor es la población y pobreza o ingresos en las familias o comunidad, mayor es la diferencia en todo sentido.",Lugares verdes-Acudir en caso que el calor sea insoportable. Áreas verdes.,Solamente en las aplicaciones de clima-teléfono.,En casa y salir por las tardes aáreas verdes. Después que baje el sol.,Sí me gustaría usar el de información dónde está más arbolizado.,Por medio de encuestas o en persona.o llamas por telefono.
219,No encuentro sentiddo para: comunidades de color y no inglés. (Sienten esos grupos más calor que los demás?),Creo que es suficiente información.,"En ""weather""y Google.","Dentro de casa, con aire acondicionado y bebiendo agua.",Es una ayuda para saber sobre el clima. ,Asistiendo a reuniones como esta.
500,Para mi la información de útil porque nos ayuda a entender lo que sucede en el país como en el mundo. Como sabemos hay personas que no sabemos lo que ocurre y en esta plataforma nos damos cuenta que ocurre.,"Sobre la contaminación que existe, pudiera ayudar ver como los humanos estamos contaminando el mundo.",En Google o app de climas.,Tomando un baño en algún parque acuático o bajo las sombras de los árboles.,Pues me ayudaría darme cuenta sobre el clima y así poder tomar medidas y enfrentar cambio del clima.,Plantar árboles si hay espacio en nuestro hogar o parques.
220,"Según el estudio presentado las personas más afectadas por el calentamiento climático van a ser mayores de 65 años y niños menores de 5 años, discapacitados, inmigrantes, gente de color, y de bajos ingresos.",Me ayudaría a conocer que vecindarios ayudan a mantener más frescura en los días de calor.,Actualmente no busco información sobre este tema,Durante los días muy calurosos permanezco en casa con aire acondicionado y bastante agua.,Para mi sería útil para buscar una vivienda que me ayude a mantenerme fresca en los días de calor.,Aprendiendo métodos para reducir los impactos del calor extremo y aplicarlos.
