Numbers in three digits,"Please Enter Number =1 if participants chose Aware, please enter number = 0 for Not Aware",,,,,,,,,,,"Please enter a number from 1 to 5 where 1 means participants chose ""Not at all"" and 5 means participants chose ""Very much""",,,"Please enter 1 if participants chose Yes, and 0 if participants chose No",,,,,,,,,"Please enter 1 if participants chose Disagree Strongly, 2 for ""Disagree somewhat"", 3 for ""Neither agree nor disagree"", 4 for ""Agree somewhat"" and 5 for ""Agree strongly""",,,,"Please enter 1 if participants chose Disagree Strongly, 2 for ""Disagree somewhat"", 3 for ""Neither agree nor disagree"", 4 for ""Agree somewhat"" and 5 for ""Agree strongly""",,,,,,,please enter the four digits participant put,"please enter ""male"", ""female"" or ""no_binary""","Please enter ""single"",""cohabitation_status"", ""married"", ""separated_divorced_widowed""","Please enter ""1"" for yes and ""0"" for no","Please enter ""urban"", ""suburbs"", ""rural"", ""not_sure""","please enter: ""rented_apartment_condo"" or ""owned_apartment_condo"" or ""rented_house"" or ""owned_house"" or ""farm"" or ""university_college_residence"" or ""other""","please enter 1 for ""Less than high school graduate"", 2 for ""High school graduate"", 3 for ""Some college"", 4 for ""Trade"", 5 for ""Associate"", 6 for ""Bachelor"", 7 for ""Master"", 8 for ""Professional"", and 9 for ""Doctorate""","please enter: ""work_full_time"" or ""work_part_time"" or ""retired"" or ""homemaker"" or ""student"" or ""other"" or ""unemployed_lookingForJob"" or ""unemployed_not_lookingForJob""","Please type all the options participants choose. If participants chose multiple regions, you can type like this: Asia, Middle_East_North_Africa_Greater_Arabia, or Asia, Europe, or Europe, North America","Please enter 1 for ""Less than $25000"", enter 2 for ""25000-34999"", 3 for ""35000 to 49999"", 4 for ""50000-74999"", 5 for ""75000 to 99999"", 6 for ""100000 to 124999"", 7 for ""125000 to 149999, 8 for ""150000 to 174999"", 9 for ""175000 to 199999"", 10 for ""200000 to 249999"", 11 for ""250000 or more""","Please enter ""extremely liberal"" or ""liberal"" or ""slightly liberal"" or ""moderate"" or ""slightly conservative"" or ""conservative"" or ""extremely conservative""","pleaes enter ""strong democrat"" or ""democrat"" or ""independent close to democrat"" or ""independent"" or ""independent close to republican"" or ""republican"" or ""strong republican"" or ""other"" or ""no preference""",Please enter the number participants put,"Please enter 1 if participants chose Disagree Strongly, 2 for ""Disagree somewhat"", 3 for ""Neither agree nor disagree"", 4 for ""Agree somewhat"" and 5 for ""Agree strongly""","Please enter 1 if participants chose Disagree Strongly, 2 for ""Disagree somewhat"", 3 for ""Neither agree nor disagree"", 4 for ""Agree somewhat"" and 5 for ""Agree strongly"""
Write down your participant code:,Insulation and weatherization are ways to reduce energy consumption at my home. ,Electrification is one way to reduce carbon emissions at my home.,I can go to a cooling center during extreme heat weather to stay cool.,"In Dane County, days over 100°F will double in the next 30 years.",Extreme heat is dangerous to my health.,Climate change affects my health.,Trees capture carbon from the atmosphere.,Trees can reduce flooding during summer.,Climate pollutants come from transportation and buildings that burn lots of fossil fuels etc.,Carbon dioxide can be removed by growing more trees.,Carbon dioxide can be removed by new technologies.,I am interested in local community politics or local community affairs.,"I feel informed about how City of Madison and Dane county policymaking on environmental issues works,",I am aware of local government’s programs to help me weatherize my home.,I have talked to people to about climate change and what we can do to reduce its impact.,I have contacted a politician or a local government official.,I have visited the local government website.,I have donated money to an organization or group.,I have boycotted certain products for environmental reasons.,I have volunteered to work on a community project.,I have searched for information and resources about environmental issues,I have taken steps to reduce energy consumption at my home.,I have made a plan to protect myself and my family in case of extreme weather.,I trust the local government to do what is right for my communities.,I am satisfied with the local government’s openness in providing public service information to my communities.,I am satisfied with the public services that local government provide to my communities.,The local government have the capacity to deliver high-quality public service to my communities.,People like me can have a say in the environment justice issues related to my community. ,People like me can have an impact on the environment policymaking process in my community.,I have the knowledge and skills I need to improve environment in my community.,I have the knowledge and skills I need to respond to the collective problems facing my community. ,I want to work with other community members to take actions to improve environment in my community.,I can create positive changes in my life.,I have the ownership over environment problems facing my community.,What is your year of brith,what is your gender,What is your civil status?,Do you have underage children living in your home?,Which of the following better describes your actual residential zone?,Which of the following best describes your current home,what is the highest degree or level of school you have compelted?,which of the following best describes your current employment,which of the following world regions best represents you/your family's national origin? Please select all that apply,Which of the following ranges includes your total annual household income from all sources?,"In general, do you think yourself as:","Generally speaking, do you think of yourself as a ...","On a point from 1 to 7, where 1 means not at all religious, and 7 means very religious, how religious would you say you are? [write down the number here] _______","Do you agree or disagree with the following ""climate change is happening""?","Do you agree or disagree with the following ""climate change is caused by anthropogenic activities""?"
ID,aware1,aware2,aware3,aware4,aware5,aware6,aware7,aware8,aware9,aware10,aware11,civic_capacity1,civic_capacity2,civic_capacity3,civic_engagement1,civic_engagement2,civic_engagement3,civic_engagement4,civic_engagement5,civic_engagement6,civic_engagement7,civic_engagement8,civic_engagement9,attitude_gov1,attitude_gov2,attitude_gov3,attitude_gov4,empowerment1,empowerment2,empowerment3,empowerment4,empowerment5,empowerment6,empowerment7,age,gender,civil_status,children,residential_zone,home,education,employment,national_origin,income,poli_ideo,poli_party,religious,climate_change_happening,climate_change_anthropogenic
103,1,1,0,1,1,1,1,1,1,1,1,3,2,1,1,0,0,0,1,0,0,1,0,3,3,4,4,5,4,4,4,4,4,3,1985,male,married,1,urban,rented_apartment_condo,4,work_full_time,South_America,1,moderate,no_preference,6,5,5
157,double_answer,0,0,1,double_answer,double_answer,1,1,1,1,1,5,2,2,0,0,0,0,0,0,1,1,1,2,2,4,3,4,5,4,4,5,5,4,1952,male,married,0,urban,owned_house,3,work_full_time,South_America,2,moderate,democrat,4,1,5
104,1,1,1,1,1,1,1,1,1,1,1,4,1,1,0,0,0,0,0,0,0,1,0,3,3,3,3,3,4,4,4,4,5,4,1988,female,married,1,suburbs,rented_apartment_condo,6,work_full_time,South_America,1,moderate,no_preference,5,5,5
106,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,0,1,1,1,1,1,4,4,5,5,5,5,5,5,5,5,5,1964,female,separated_divorced_widowed,0,urban,owned_house,6,work_full_time,North_America,5,liberal,democrat,4,5,5
108,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0,1,0,0,1,1,1,1,2,2,2,2,4,4,4,4,4,4,4,1967,female,married,0,suburbs,rented_house,2,unemployed_lookingForJob,other,left_blank,moderate,no_preference,5,1,1
109,0,0,0,double_answer,1,1,1,0,1,1,0,3,3,3,1,0,0,0,0,0,1,1,1,3,2,4,3,3,2,3,3,3,4,3,left_blank,female,left_blank,1,not_sure,rented_house,1,homemaker,other,left_blank,moderate,no_preference,left_blank,1,1
111,1,1,1,0,1,1,1,1,0,1,0,5,4,3,1,1,0,0,0,0,1,1,1,4,5,5,4,4,4,4,4,5,5,5,1963,female,married,0,urban,rented_apartment_condo,8,work_full_time,South_America,3,liberal,democrat,5,5,5
112,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0,0,0,0,0,0,1,1,1,4,3,5,5,5,5,4,4,5,5,4,1962,male,married,0,urban,rented_apartment_condo,8,work_full_time,South_America,3,moderate,independent_close_to_democrat,5,5,5
