"","STATEFP.x","COUNTYFP","TRACTCE","GEOID.x","NAME.x","NAMELSAD","MTFCC","FUNCSTAT","ALAND.x","AWATER.x","INTPTLAT","INTPTLON","STATEFP.y","SLDUST","AFFGEOID","GEOID.y","NAME.y","LSAD","LSY","ALAND.y","AWATER.y"
"1","55","009","940002","55009940002","9400.02","Census Tract 9400.02","G5020","S",11512825,17646,"+44.5153993","-088.1275536","55","002","610U600US55002","55002","2","LU","2018",3623735920,50781853
"2","55","009","001600","55009001600","16","Census Tract 16","G5020","S",3642836,25211,"+44.4885958","-087.9835008","55","030","610U600US55030","55030","30","LU","2018",1484911602,765129093
"2.1","55","009","001600","55009001600","16","Census Tract 16","G5020","S",3642836,25211,"+44.4885958","-087.9835008","55","002","610U600US55002","55002","2","LU","2018",3623735920,50781853
"3","55","009","001801","55009001801","18.01","Census Tract 18.01","G5020","S",11455286,34950,"+44.5146596","-087.9165411","55","030","610U600US55030","55030","30","LU","2018",1484911602,765129093
"3.1","55","009","001801","55009001801","18.01","Census Tract 18.01","G5020","S",11455286,34950,"+44.5146596","-087.9165411","55","001","610U600US55001","55001","1","LU","2018",3903672534,7110221700
"4","55","009","001802","55009001802","18.02","Census Tract 18.02","G5020","S",19656283,20676600,"+44.5383388","-087.9846142","55","030","610U600US55030","55030","30","LU","2018",1484911602,765129093
"4.1","55","009","001802","55009001802","18.02","Census Tract 18.02","G5020","S",19656283,20676600,"+44.5383388","-087.9846142","55","001","610U600US55001","55001","1","LU","2018",3903672534,7110221700
"5","55","009","002001","55009002001","20.01","Census Tract 20.01","G5020","S",6976236,13298,"+44.4981471","-087.9606188","55","030","610U600US55030","55030","30","LU","2018",1484911602,765129093
"6","55","009","002002","55009002002","20.02","Census Tract 20.02","G5020","S",3581037,0,"+44.4805404","-087.9563154","55","030","610U600US55030","55030","30","LU","2018",1484911602,765129093
"7","55","009","002003","55009002003","20.03","Census Tract 20.03","G5020","S",13565402,16425,"+44.4861617","-087.9132809","55","030","610U600US55030","55030","30","LU","2018",1484911602,765129093
"7.1","55","009","002003","55009002003","20.03","Census Tract 20.03","G5020","S",13565402,16425,"+44.4861617","-087.9132809","55","001","610U600US55001","55001","1","LU","2018",3903672534,7110221700
"8","55","009","010100","55009010100","101","Census Tract 101","G5020","S",4775828,496893,"+44.4500418","-088.0437738","55","030","610U600US55030","55030","30","LU","2018",1484911602,765129093
"8.1","55","009","010100","55009010100","101","Census Tract 101","G5020","S",4775828,496893,"+44.4500418","-088.0437738","55","001","610U600US55001","55001","1","LU","2018",3903672534,7110221700
"8.2","55","009","010100","55009010100","101","Census Tract 101","G5020","S",4775828,496893,"+44.4500418","-088.0437738","55","002","610U600US55002","55002","2","LU","2018",3623735920,50781853
"9","55","009","010300","55009010300","103","Census Tract 103","G5020","S",17055878,620476,"+44.4131243","-088.0372145","55","030","610U600US55030","55030","30","LU","2018",1484911602,765129093
"9.1","55","009","010300","55009010300","103","Census Tract 103","G5020","S",17055878,620476,"+44.4131243","-088.0372145","55","001","610U600US55001","55001","1","LU","2018",3903672534,7110221700
"10","55","009","020100","55009020100","201","Census Tract 201","G5020","S",165845974,105015491,"+44.5931471","-087.8431334","55","030","610U600US55030","55030","30","LU","2018",1484911602,765129093
"10.1","55","009","020100","55009020100","201","Census Tract 201","G5020","S",165845974,105015491,"+44.5931471","-087.8431334","55","001","610U600US55001","55001","1","LU","2018",3903672534,7110221700
"11","55","009","020502","55009020502","205.02","Census Tract 205.02","G5020","S",21703606,11871690,"+44.5715845","-088.0445316","55","030","610U600US55030","55030","30","LU","2018",1484911602,765129093
"11.1","55","009","020502","55009020502","205.02","Census Tract 205.02","G5020","S",21703606,11871690,"+44.5715845","-088.0445316","55","002","610U600US55002","55002","2","LU","2018",3623735920,50781853
"12","55","117","011100","55117011100","111","Census Tract 111","G5020","S",186713095,1581686,"+43.6236750","-088.1070501","55","020","610U600US55020","55020","20","LU","2018",2543861755,2357570087
"12.1","55","117","011100","55117011100","111","Census Tract 111","G5020","S",186713095,1581686,"+43.6236750","-088.1070501","55","009","610U600US55009","55009","9","LU","2018",2060978336,4286694272
"13","55","117","000500","55117000500","5","Census Tract 5","G5020","S",1285761,64149,"+43.7569168","-087.7221547","55","009","610U600US55009","55009","9","LU","2018",2060978336,4286694272
"14","55","117","990000","55117990000","9900","Census Tract 9900","G5020","S",0,1925553079,"+43.7187905","-087.4172997",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","55","117","010700","55117010700","107","Census Tract 107","G5020","S",38151576,1523419,"+43.7863606","-087.7815153","55","009","610U600US55009","55009","9","LU","2018",2060978336,4286694272
"16","55","117","010300","55117010300","103","Census Tract 103","G5020","S",89905154,3146672,"+43.8479462","-087.9817827","55","020","610U600US55020","55020","20","LU","2018",2543861755,2357570087
"16.1","55","117","010300","55117010300","103","Census Tract 103","G5020","S",89905154,3146672,"+43.8479462","-087.9817827","55","009","610U600US55009","55009","9","LU","2018",2060978336,4286694272
"17","55","117","000400","55117000400","4","Census Tract 4","G5020","S",6708629,59542,"+43.7544030","-087.7476048","55","009","610U600US55009","55009","9","LU","2018",2060978336,4286694272
"18","55","117","000800","55117000800","8","Census Tract 8","G5020","S",2644007,1437742,"+43.7415665","-087.7121220","55","009","610U600US55009","55009","9","LU","2018",2060978336,4286694272
"19","55","117","000100","55117000100","1","Census Tract 1","G5020","S",2003575,1724253,"+43.7758955","-087.7073683","55","009","610U600US55009","55009","9","LU","2018",2060978336,4286694272
"20","55","117","010800","55117010800","108","Census Tract 108","G5020","S",58768080,6327014,"+43.6704375","-087.7542430","55","009","610U600US55009","55009","9","LU","2018",2060978336,4286694272
"21","55","117","000300","55117000300","3","Census Tract 3","G5020","S",5983356,67160,"+43.7733279","-087.7424198","55","009","610U600US55009","55009","9","LU","2018",2060978336,4286694272
"22","55","117","010100","55117010100","101","Census Tract 101","G5020","S",101318088,6315578,"+43.8548789","-087.8061250","55","009","610U600US55009","55009","9","LU","2018",2060978336,4286694272
"23","55","117","010400","55117010400","104","Census Tract 104","G5020","S",190565509,3483743,"+43.8005415","-088.0912212","55","020","610U600US55020","55020","20","LU","2018",2543861755,2357570087
"23.1","55","117","010400","55117010400","104","Census Tract 104","G5020","S",190565509,3483743,"+43.8005415","-088.0912212","55","009","610U600US55009","55009","9","LU","2018",2060978336,4286694272
"24","55","131","440200","55131440200","4402","Census Tract 4402","G5020","S",2436215,38769,"+43.3169811","-088.3780272","55","013","610U600US55013","55013","13","LU","2018",3083970087,78470566
"24.1","55","131","440200","55131440200","4402","Census Tract 4402","G5020","S",2436215,38769,"+43.3169811","-088.3780272","55","020","610U600US55020","55020","20","LU","2018",2543861755,2357570087
"25","55","131","460102","55131460102","4601.02","Census Tract 4601.02","G5020","S",30804405,412413,"+43.2237094","-088.2127468","55","020","610U600US55020","55020","20","LU","2018",2543861755,2357570087
"25.1","55","131","460102","55131460102","4601.02","Census Tract 4601.02","G5020","S",30804405,412413,"+43.2237094","-088.2127468","55","008","610U600US55008","55008","8","LU","2018",630602556,1052680549
"26","55","131","470202","55131470202","4702.02","Census Tract 4702.02","G5020","S",5098454,0,"+43.2066254","-088.1128751","55","008","610U600US55008","55008","8","LU","2018",630602556,1052680549
"27","55","113","100400","55113100400","1004","Census Tract 1004","G5020","S",344216111,51607636,"+45.7960144","-091.4710362","55","025","610U600US55025","55025","25","LU","2018",21786702412,6063702905
"27.1","55","113","100400","55113100400","1004","Census Tract 1004","G5020","S",344216111,51607636,"+45.7960144","-091.4710362","55","029","610U600US55029","55029","29","LU","2018",10713251220,346460545
"28","55","113","100800","55113100800","1008","Census Tract 1008","G5020","S",1186007118,20166631,"+45.7923304","-090.8918637","55","025","610U600US55025","55025","25","LU","2018",21786702412,6063702905
"28.1","55","113","100800","55113100800","1008","Census Tract 1008","G5020","S",1186007118,20166631,"+45.7923304","-090.8918637","55","029","610U600US55029","55029","29","LU","2018",10713251220,346460545
"29","55","113","100300","55113100300","1003","Census Tract 1003","G5020","S",77268196,2027666,"+46.0075293","-091.4823422","55","025","610U600US55025","55025","25","LU","2018",21786702412,6063702905
"29.1","55","113","100300","55113100300","1003","Census Tract 1003","G5020","S",77268196,2027666,"+46.0075293","-091.4823422","55","029","610U600US55029","55029","29","LU","2018",10713251220,346460545
"30","55","113","100700","55113100700","1007","Census Tract 1007","G5020","S",480551998,8428004,"+45.7579904","-091.2109751","55","029","610U600US55029","55029","29","LU","2018",10713251220,346460545
"31","55","101","002800","55101002800","28","Census Tract 28","G5020","S",79071397,5101136,"+42.7939000","-088.2500952","55","028","610U600US55028","55028","28","LU","2018",516519159,21483723
"31.1","55","101","002800","55101002800","28","Census Tract 28","G5020","S",79071397,5101136,"+42.7939000","-088.2500952","55","021","610U600US55021","55021","21","LU","2018",1275300272,2427242738
"31.2","55","101","002800","55101002800","28","Census Tract 28","G5020","S",79071397,5101136,"+42.7939000","-088.2500952","55","011","610U600US55011","55011","11","LU","2018",2582695181,70042321
"32","55","031","030100","55031030100","301","Census Tract 301","G5020","S",727698421,8623486,"+46.5990311","-091.7341340","55","025","610U600US55025","55025","25","LU","2018",21786702412,6063702905
"33","55","031","020800","55031020800","208","Census Tract 208","G5020","S",24042147,574414,"+46.6783481","-092.0836463","55","025","610U600US55025","55025","25","LU","2018",21786702412,6063702905
"34","55","031","030200","55031030200","302","Census Tract 302","G5020","S",518491516,6321627,"+46.5558694","-092.0786793","55","025","610U600US55025","55025","25","LU","2018",21786702412,6063702905
"35","55","031","030300","55031030300","303","Census Tract 303","G5020","S",2012064277,59450927,"+46.3234350","-091.9308274","55","025","610U600US55025","55025","25","LU","2018",21786702412,6063702905
"36","55","031","020400","55031020400","204","Census Tract 204","G5020","S",3517920,1594667,"+46.7165688","-092.0650508","55","025","610U600US55025","55025","25","LU","2018",21786702412,6063702905
"37","55","031","990000","55031990000","9900","Census Tract 9900","G5020","S",0,355661496,"+46.7675076","-091.7372617","55","025","610U600US55025","55025","25","LU","2018",21786702412,6063702905
"38","55","031","021000","55031021000","210","Census Tract 210","G5020","S",44586806,5385637,"+46.6686706","-091.9892838","55","025","610U600US55025","55025","25","LU","2018",21786702412,6063702905
"39","55","125","950700","55125950700","9507","Census Tract 9507","G5020","S",186361511,29105543,"+45.9426425","-089.6146369","55","025","610U600US55025","55025","25","LU","2018",21786702412,6063702905
"39.1","55","125","950700","55125950700","9507","Census Tract 9507","G5020","S",186361511,29105543,"+45.9426425","-089.6146369","55","012","610U600US55012","55012","12","LU","2018",20324734743,1027452248
"40","55","125","940000","55125940000","9400","Census Tract 9400","G5020","S",257617928,75173596,"+45.9687717","-089.8790107","55","025","610U600US55025","55025","25","LU","2018",21786702412,6063702905
"40.1","55","125","940000","55125940000","9400","Census Tract 9400","G5020","S",257617928,75173596,"+45.9687717","-089.8790107","55","012","610U600US55012","55012","12","LU","2018",20324734743,1027452248
"41","55","125","950600","55125950600","9506","Census Tract 9506","G5020","S",1024297553,206028940,"+46.1198823","-089.6263196","55","025","610U600US55025","55025","25","LU","2018",21786702412,6063702905
"41.1","55","125","950600","55125950600","9506","Census Tract 9506","G5020","S",1024297553,206028940,"+46.1198823","-089.6263196","55","012","610U600US55012","55012","12","LU","2018",20324734743,1027452248
"42","55","085","970102","55085970102","9701.02","Census Tract 9701.02","G5020","S",838506044,54942585,"+45.6347363","-089.2229807","55","012","610U600US55012","55012","12","LU","2018",20324734743,1027452248
"43","55","085","971002","55085971002","9710.02","Census Tract 9710.02","G5020","S",340549685,32311997,"+45.8216485","-089.9151373","55","025","610U600US55025","55025","25","LU","2018",21786702412,6063702905
"43.1","55","085","971002","55085971002","9710.02","Census Tract 9710.02","G5020","S",340549685,32311997,"+45.8216485","-089.9151373","55","012","610U600US55012","55012","12","LU","2018",20324734743,1027452248
"44","55","085","970101","55085970101","9701.01","Census Tract 9701.01","G5020","S",135007216,39307648,"+45.8159605","-089.1048045","55","012","610U600US55012","55012","12","LU","2018",20324734743,1027452248
"45","55","085","971001","55085971001","9710.01","Census Tract 9710.01","G5020","S",500698461,30743126,"+45.6596541","-089.8724391","55","025","610U600US55025","55025","25","LU","2018",21786702412,6063702905
"45.1","55","085","971001","55085971001","9710.01","Census Tract 9710.01","G5020","S",500698461,30743126,"+45.6596541","-089.8724391","55","012","610U600US55012","55012","12","LU","2018",20324734743,1027452248
"46","55","085","970601","55085970601","9706.01","Census Tract 9706.01","G5020","S",64079294,8701412,"+45.6821144","-089.4912639","55","012","610U600US55012","55012","12","LU","2018",20324734743,1027452248
"47","55","085","970602","55085970602","9706.02","Census Tract 9706.02","G5020","S",361158420,47247008,"+45.8036269","-089.4492929","55","012","610U600US55012","55012","12","LU","2018",20324734743,1027452248
"48","55","111","000402","55111000402","4.02","Census Tract 4.02","G5020","S",48611133,506795,"+43.4613730","-089.6489514","55","027","610U600US55027","55027","27","LU","2018",4214651842,79853893
"49","55","111","001002","55111001002","10.02","Census Tract 10.02","G5020","S",16232233,811927,"+43.5239817","-089.9817026","55","017","610U600US55017","55017","17","LU","2018",11239762031,230747742
"50","55","111","001001","55111001001","10.01","Census Tract 10.01","G5020","S",20611001,247842,"+43.5469646","-090.0049382","55","017","610U600US55017","55017","17","LU","2018",11239762031,230747742
"51","55","113","940000","55113940000","9400","Census Tract 9400","G5020","S",339885980,55017458,"+45.8800999","-091.2666578","55","029","610U600US55029","55029","29","LU","2018",10713251220,346460545
"52","55","113","100500","55113100500","1005","Census Tract 1005","G5020","S",829287216,102636479,"+46.0669691","-091.2068430","55","025","610U600US55025","55025","25","LU","2018",21786702412,6063702905
"52.1","55","113","100500","55113100500","1005","Census Tract 1005","G5020","S",829287216,102636479,"+46.0669691","-091.2068430","55","029","610U600US55029","55029","29","LU","2018",10713251220,346460545
"53","55","131","400103","55131400103","4001.03","Census Tract 4001.03","G5020","S",94497291,805766,"+43.5053644","-088.1055610","55","020","610U600US55020","55020","20","LU","2018",2543861755,2357570087
"53.1","55","131","400103","55131400103","4001.03","Census Tract 4001.03","G5020","S",94497291,805766,"+43.5053644","-088.1055610","55","009","610U600US55009","55009","9","LU","2018",2060978336,4286694272
"54","55","131","450106","55131450106","4501.06","Census Tract 4501.06","G5020","S",40303570,100538,"+43.3030481","-088.2706837","55","020","610U600US55020","55020","20","LU","2018",2543861755,2357570087
"54.1","55","131","450106","55131450106","4501.06","Census Tract 4501.06","G5020","S",40303570,100538,"+43.3030481","-088.2706837","55","008","610U600US55008","55008","8","LU","2018",630602556,1052680549
"55","55","131","440104","55131440104","4401.04","Census Tract 4401.04","G5020","S",20641877,1093,"+43.3026831","-088.4041381","55","013","610U600US55013","55013","13","LU","2018",3083970087,78470566
"55.1","55","131","440104","55131440104","4401.04","Census Tract 4401.04","G5020","S",20641877,1093,"+43.3026831","-088.4041381","55","020","610U600US55020","55020","20","LU","2018",2543861755,2357570087
"55.2","55","131","440104","55131440104","4401.04","Census Tract 4401.04","G5020","S",20641877,1093,"+43.3026831","-088.4041381","55","008","610U600US55008","55008","8","LU","2018",630602556,1052680549
"56","55","131","440105","55131440105","4401.05","Census Tract 4401.05","G5020","S",39534023,1891495,"+43.3242892","-088.3266921","55","020","610U600US55020","55020","20","LU","2018",2543861755,2357570087
"56.1","55","131","440105","55131440105","4401.05","Census Tract 4401.05","G5020","S",39534023,1891495,"+43.3242892","-088.3266921","55","008","610U600US55008","55008","8","LU","2018",630602556,1052680549
"57","55","059","000602","55059000602","6.02","Census Tract 6.02","G5020","S",7946177,0,"+42.6176995","-087.8597094","55","021","610U600US55021","55021","21","LU","2018",1275300272,2427242738
"57.1","55","059","000602","55059000602","6.02","Census Tract 6.02","G5020","S",7946177,0,"+42.6176995","-087.8597094","55","022","610U600US55022","55022","22","LU","2018",133274394,4184118
"58","55","059","002601","55059002601","26.01","Census Tract 26.01","G5020","S",8982314,64460,"+42.5745455","-087.9212823","55","021","610U600US55021","55021","21","LU","2018",1275300272,2427242738
"58.1","55","059","002601","55059002601","26.01","Census Tract 26.01","G5020","S",8982314,64460,"+42.5745455","-087.9212823","55","022","610U600US55022","55022","22","LU","2018",133274394,4184118
"59","55","059","002602","55059002602","26.02","Census Tract 26.02","G5020","S",54956443,733462,"+42.5259247","-087.9079479","55","021","610U600US55021","55021","21","LU","2018",1275300272,2427242738
"59.1","55","059","002602","55059002602","26.02","Census Tract 26.02","G5020","S",54956443,733462,"+42.5259247","-087.9079479","55","022","610U600US55022","55022","22","LU","2018",133274394,4184118
"60","55","059","002904","55059002904","29.04","Census Tract 29.04","G5020","S",34795263,2933175,"+42.5160205","-088.1372465","55","021","610U600US55021","55021","21","LU","2018",1275300272,2427242738
"61","55","059","002903","55059002903","29.03","Census Tract 29.03","G5020","S",20240386,2478146,"+42.5648460","-088.1486596","55","021","610U600US55021","55021","21","LU","2018",1275300272,2427242738
"61.1","55","059","002903","55059002903","29.03","Census Tract 29.03","G5020","S",20240386,2478146,"+42.5648460","-088.1486596","55","011","610U600US55011","55011","11","LU","2018",2582695181,70042321
"62","55","059","003002","55059003002","30.02","Census Tract 30.02","G5020","S",37485218,1881343,"+42.5227718","-088.2250620","55","021","610U600US55021","55021","21","LU","2018",1275300272,2427242738
"62.1","55","059","003002","55059003002","30.02","Census Tract 30.02","G5020","S",37485218,1881343,"+42.5227718","-088.2250620","55","011","610U600US55011","55011","11","LU","2018",2582695181,70042321
"63","55","073","002200","55073002200","22","Census Tract 22","G5020","S",271167652,207509,"+44.9326966","-090.2111578","55","029","610U600US55029","55029","29","LU","2018",10713251220,346460545
"63.1","55","073","002200","55073002200","22","Census Tract 22","G5020","S",271167652,207509,"+44.9326966","-090.2111578","55","023","610U600US55023","55023","23","LU","2018",9185985321,141083228
"64","55","073","001201","55073001201","12.01","Census Tract 12.01","G5020","S",150616965,2098735,"+44.8205109","-089.5887846","55","029","610U600US55029","55029","29","LU","2018",10713251220,346460545
"65","55","073","001800","55073001800","18","Census Tract 18","G5020","S",501459377,51047754,"+44.7436434","-089.7997982","55","029","610U600US55029","55029","29","LU","2018",10713251220,346460545
"65.1","55","073","001800","55073001800","18","Census Tract 18","G5020","S",501459377,51047754,"+44.7436434","-089.7997982","55","024","610U600US55024","55024","24","LU","2018",7436309723,224351968
"65.2","55","073","001800","55073001800","18","Census Tract 18","G5020","S",501459377,51047754,"+44.7436434","-089.7997982","55","023","610U600US55023","55023","23","LU","2018",9185985321,141083228
"66","55","073","001900","55073001900","19","Census Tract 19","G5020","S",264962780,137317,"+44.8958368","-089.8934835","55","029","610U600US55029","55029","29","LU","2018",10713251220,346460545
"66.1","55","073","001900","55073001900","19","Census Tract 19","G5020","S",264962780,137317,"+44.8958368","-089.8934835","55","023","610U600US55023","55023","23","LU","2018",9185985321,141083228
"67","55","073","001600","55073001600","16","Census Tract 16","G5020","S",612930327,2009406,"+44.9913724","-089.3559891","55","012","610U600US55012","55012","12","LU","2018",20324734743,1027452248
"67.1","55","073","001600","55073001600","16","Census Tract 16","G5020","S",612930327,2009406,"+44.9913724","-089.3559891","55","029","610U600US55029","55029","29","LU","2018",10713251220,346460545
"67.2","55","073","001600","55073001600","16","Census Tract 16","G5020","S",612930327,2009406,"+44.9913724","-089.3559891","55","002","610U600US55002","55002","2","LU","2018",3623735920,50781853
"68","55","073","002100","55073002100","21","Census Tract 21","G5020","S",270108148,1116471,"+44.7645117","-090.2088557","55","029","610U600US55029","55029","29","LU","2018",10713251220,346460545
"68.1","55","073","002100","55073002100","21","Census Tract 21","G5020","S",270108148,1116471,"+44.7645117","-090.2088557","55","023","610U600US55023","55023","23","LU","2018",9185985321,141083228
"69","55","073","001700","55073001700","17","Census Tract 17","G5020","S",403691612,4993894,"+44.7772374","-089.3679131","55","029","610U600US55029","55029","29","LU","2018",10713251220,346460545
"69.1","55","073","001700","55073001700","17","Census Tract 17","G5020","S",403691612,4993894,"+44.7772374","-089.3679131","55","024","610U600US55024","55024","24","LU","2018",7436309723,224351968
"69.2","55","073","001700","55073001700","17","Census Tract 17","G5020","S",403691612,4993894,"+44.7772374","-089.3679131","55","002","610U600US55002","55002","2","LU","2018",3623735920,50781853
"69.3","55","073","001700","55073001700","17","Census Tract 17","G5020","S",403691612,4993894,"+44.7772374","-089.3679131","55","014","610U600US55014","55014","14","LU","2018",7855996835,282210519
"70","55","073","000400","55073000400","4","Census Tract 4","G5020","S",6656051,279275,"+44.9825501","-089.6415282","55","029","610U600US55029","55029","29","LU","2018",10713251220,346460545
"71","55","073","000100","55073000100","1","Census Tract 1","G5020","S",1755586,155134,"+44.9631151","-089.6288946","55","029","610U600US55029","55029","29","LU","2018",10713251220,346460545
"72","55","073","001102","55073001102","11.02","Census Tract 11.02","G5020","S",143265335,184937,"+44.9526909","-089.5335155","55","012","610U600US55012","55012","12","LU","2018",20324734743,1027452248
"72.1","55","073","001102","55073001102","11.02","Census Tract 11.02","G5020","S",143265335,184937,"+44.9526909","-089.5335155","55","029","610U600US55029","55029","29","LU","2018",10713251220,346460545
"73","55","073","001103","55073001103","11.03","Census Tract 11.03","G5020","S",10023469,61285,"+44.9131302","-089.5703840","55","029","610U600US55029","55029","29","LU","2018",10713251220,346460545
"74","55","073","001400","55073001400","14","Census Tract 14","G5020","S",106700586,556693,"+44.9822543","-089.7778912","55","012","610U600US55012","55012","12","LU","2018",20324734743,1027452248
"74.1","55","073","001400","55073001400","14","Census Tract 14","G5020","S",106700586,556693,"+44.9822543","-089.7778912","55","029","610U600US55029","55029","29","LU","2018",10713251220,346460545
"75","55","001","950700","55001950700","9507","Census Tract 9507","G5020","S",261072450,8536122,"+43.7124931","-089.6815029","55","017","610U600US55017","55017","17","LU","2018",11239762031,230747742
"75.1","55","001","950700","55001950700","9507","Census Tract 9507","G5020","S",261072450,8536122,"+43.7124931","-089.6815029","55","027","610U600US55027","55027","27","LU","2018",4214651842,79853893
"75.2","55","001","950700","55001950700","9507","Census Tract 9507","G5020","S",261072450,8536122,"+43.7124931","-089.6815029","55","014","610U600US55014","55014","14","LU","2018",7855996835,282210519
"76","55","001","950400","55001950400","9504","Census Tract 9504","G5020","S",235588925,1195071,"+43.9407474","-089.7376994","55","024","610U600US55024","55024","24","LU","2018",7436309723,224351968
"76.1","55","001","950400","55001950400","9504","Census Tract 9504","G5020","S",235588925,1195071,"+43.9407474","-089.7376994","55","014","610U600US55014","55014","14","LU","2018",7855996835,282210519
"77","55","001","950100","55001950100","9501","Census Tract 9501","G5020","S",233976137,17523223,"+44.2022742","-089.7468898","55","017","610U600US55017","55017","17","LU","2018",11239762031,230747742
"77.1","55","001","950100","55001950100","9501","Census Tract 9501","G5020","S",233976137,17523223,"+44.2022742","-089.7468898","55","024","610U600US55024","55024","24","LU","2018",7436309723,224351968
"78","55","013","970900","55013970900","9709","Census Tract 9709","G5020","S",294806392,12871764,"+45.8325158","-092.6277958","55","010","610U600US55010","55010","10","LU","2018",5367932941,190491019
"78.1","55","013","970900","55013970900","9709","Census Tract 9709","G5020","S",294806392,12871764,"+45.8325158","-092.6277958","55","025","610U600US55025","55025","25","LU","2018",21786702412,6063702905
"79","55","013","970400","55013970400","9704","Census Tract 9704","G5020","S",633018726,61323789,"+46.0094679","-092.1988328","55","010","610U600US55010","55010","10","LU","2018",5367932941,190491019
"79.1","55","013","970400","55013970400","9704","Census Tract 9704","G5020","S",633018726,61323789,"+46.0094679","-092.1988328","55","025","610U600US55025","55025","25","LU","2018",21786702412,6063702905
"80","55","013","971000","55013971000","9710","Census Tract 9710","G5020","S",319063263,15033338,"+45.6977879","-092.6777312","55","010","610U600US55010","55010","10","LU","2018",5367932941,190491019
"81","55","013","970700","55013970700","9707","Census Tract 9707","G5020","S",279207212,28198563,"+45.8803599","-092.3950567","55","010","610U600US55010","55010","10","LU","2018",5367932941,190491019
"81.1","55","013","970700","55013970700","9707","Census Tract 9707","G5020","S",279207212,28198563,"+45.8803599","-092.3950567","55","025","610U600US55025","55025","25","LU","2018",21786702412,6063702905
"82","55","013","970800","55013970800","9708","Census Tract 9708","G5020","S",208149505,11617888,"+45.8029895","-092.4559393","55","010","610U600US55010","55010","10","LU","2018",5367932941,190491019
"83","55","013","970600","55013970600","9706","Census Tract 9706","G5020","S",393581389,22899084,"+45.7909042","-092.1447634","55","010","610U600US55010","55010","10","LU","2018",5367932941,190491019
"83.1","55","013","970600","55013970600","9706","Census Tract 9706","G5020","S",393581389,22899084,"+45.7909042","-092.1447634","55","025","610U600US55025","55025","25","LU","2018",21786702412,6063702905
"84","55","009","020800","55009020800","208","Census Tract 208","G5020","S",2604037,432938,"+44.4893908","-088.0169190","55","030","610U600US55030","55030","30","LU","2018",1484911602,765129093
"84.1","55","009","020800","55009020800","208","Census Tract 208","G5020","S",2604037,432938,"+44.4893908","-088.0169190","55","002","610U600US55002","55002","2","LU","2018",3623735920,50781853
"85","55","009","000402","55009000402","4.02","Census Tract 4.02","G5020","S",1804302,0,"+44.5143221","-088.0628756","55","030","610U600US55030","55030","30","LU","2018",1484911602,765129093
"85.1","55","009","000402","55009000402","4.02","Census Tract 4.02","G5020","S",1804302,0,"+44.5143221","-088.0628756","55","002","610U600US55002","55002","2","LU","2018",3623735920,50781853
"86","55","029","100800","55029100800","1008","Census Tract 1008","G5020","S",46526591,7698943,"+44.8113672","-087.3336989","55","001","610U600US55001","55001","1","LU","2018",3903672534,7110221700
"87","55","009","010201","55009010201","102.01","Census Tract 102.01","G5020","S",3917569,1248625,"+44.4616019","-088.0716975","55","001","610U600US55001","55001","1","LU","2018",3903672534,7110221700
"87.1","55","009","010201","55009010201","102.01","Census Tract 102.01","G5020","S",3917569,1248625,"+44.4616019","-088.0716975","55","002","610U600US55002","55002","2","LU","2018",3623735920,50781853
"88","55","083","990000","55083990000","9900","Census Tract 9900","G5020","S",0,317559384,"+44.7815226","-087.8406162",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","55","009","000100","55009000100","1","Census Tract 1","G5020","S",7269208,4547718,"+44.5487323","-088.0229546","55","030","610U600US55030","55030","30","LU","2018",1484911602,765129093
"90","55","009","000200","55009000200","2","Census Tract 2","G5020","S",3069089,0,"+44.5344024","-088.0389675","55","030","610U600US55030","55030","30","LU","2018",1484911602,765129093
"91","55","009","010202","55009010202","102.02","Census Tract 102.02","G5020","S",6388145,12251,"+44.4333621","-088.0929386","55","001","610U600US55001","55001","1","LU","2018",3903672534,7110221700
"91.1","55","009","010202","55009010202","102.02","Census Tract 102.02","G5020","S",6388145,12251,"+44.4333621","-088.0929386","55","002","610U600US55002","55002","2","LU","2018",3623735920,50781853
"92","55","009","940003","55009940003","9400.03","Census Tract 9400.03","G5020","S",4095553,0,"+44.5227740","-088.1040045","55","002","610U600US55002","55002","2","LU","2018",3623735920,50781853
"93","55","117","000900","55117000900","9","Census Tract 9","G5020","S",8921796,66445,"+43.7276958","-087.7475380","55","009","610U600US55009","55009","9","LU","2018",2060978336,4286694272
"94","55","117","001000","55117001000","10","Census Tract 10","G5020","S",4897859,7895,"+43.7150667","-087.7323606","55","009","610U600US55009","55009","9","LU","2018",2060978336,4286694272
"95","55","117","001100","55117001100","11","Census Tract 11","G5020","S",3742236,2208384,"+43.7169861","-087.7076849","55","009","610U600US55009","55009","9","LU","2018",2060978336,4286694272
"96","55","117","010200","55117010200","102","Census Tract 102","G5020","S",46704507,402676,"+43.8286277","-087.8665394","55","009","610U600US55009","55009","9","LU","2018",2060978336,4286694272
"97","55","015","020200","55015020200","202","Census Tract 202","G5020","S",251212020,2149943,"+44.1023958","-088.1283976","55","020","610U600US55020","55020","20","LU","2018",2543861755,2357570087
"97.1","55","015","020200","55015020200","202","Census Tract 202","G5020","S",251212020,2149943,"+44.1023958","-088.1283976","55","001","610U600US55001","55001","1","LU","2018",3903672534,7110221700
